tweet_id,favorite_count,retweet_count
892420643555336193,36054.0,7676.0
892177421306343426,31097.0,5675.0
891815181378084864,23411.0,3763.0
891689557279858688,39325.0,7850.0
891327558926688256,37565.0,8447.0
891087950875897856,18930.0,2833.0
890971913173991426,11004.0,1844.0
890729181411237888,60744.0,17130.0
890609185150312448,26046.0,3900.0
890240255349198849,29773.0,6660.0
890006608113172480,28654.0,6649.0
889880896479866881,26065.0,4530.0
889665388333682689,44879.0,9080.0
889638837579907072,25254.0,4067.0
889531135344209921,14147.0,2048.0
889278841981685760,23542.0,4846.0
888917238123831296,27173.0,4081.0
888804989199671297,23883.0,3850.0
888554962724278272,18437.0,3164.0
888202515573088257,,
888078434458587136,20349.0,3149.0
887705289381826560,28260.0,4897.0
887517139158093824,43327.0,10701.0
887473957103951883,64212.0,16336.0
887343217045368832,31446.0,9520.0
887101392804085760,28613.0,5417.0
886983233522544640,32609.0,6961.0
886736880519319552,11195.0,2922.0
886680336477933568,20994.0,4067.0
886366144734445568,19742.0,2877.0
886267009285017600,111.0,4.0
886258384151887873,26147.0,5737.0
886054160059072513,0.0,100.0
885984800019947520,30433.0,6102.0
885528943205470208,33589.0,5813.0
885518971528720385,19129.0,3394.0
885311592912609280,0.0,16830.0
885167619883638784,20449.0,3971.0
884925521741709313,71990.0,16427.0
884876753390489601,25997.0,5065.0
884562892145688576,22705.0,4270.0
884441805382717440,25309.0,5178.0
884247878851493888,67801.0,18462.0
884162670584377345,19067.0,2722.0
883838122936631299,20419.0,3119.0
883482846933004288,42809.0,8978.0
883360690899218434,21176.0,3361.0
883117836046086144,34666.0,6037.0
882992080364220416,22322.0,3537.0
882762694511734784,26406.0,4438.0
882627270321602560,26156.0,5522.0
882268110199369728,41874.0,10528.0
882045870035918850,27389.0,4444.0
881906580714921986,22750.0,3088.0
881666595344535552,47334.0,9703.0
881633300179243008,117.0,7.0
881536004380872706,46219.0,14516.0
881268444196462592,21705.0,4797.0
880935762899988482,15978.0,2535.0
880872448815771648,19892.0,3485.0
880465832366813184,26605.0,5652.0
880221127280381952,25202.0,3793.0
880095782870896641,25814.0,3945.0
879862464715927552,20921.0,3180.0
879674319642796034,295.0,10.0
879492040517615616,21949.0,2903.0
879415818425184262,98892.0,40455.0
879376492567855104,15712.0,2847.0
879130579576475649,0.0,6188.0
879050749262655488,21065.0,4277.0
879008229531029506,17787.0,2434.0
878776093423087618,18130.0,3725.0
878604707211726852,28178.0,6465.0
878404777348136964,0.0,1175.0
878316110768087041,0.0,6068.0
878281511006478336,7236.0,1175.0
878057613040115712,39378.0,6188.0
877736472329191424,74203.0,17273.0
877611172832227328,0.0,73.0
877556246731214848,21236.0,3470.0
